ID;Box;Temp;Diet;weight_i;sizeBL;SizeTT;st42;St46;weight46;size46;censor_46;censor_42;death_day42;death_day;first_day
001P12_1;1;12;Plant;0.08830;8.437;19.402;182;205;0.17197;14.485;0;0;182;205;0
001P12_2;1;12;Plant;0.07959;8.738;20.263;184;207;0.19595;13.783;0;0;184;207;0
002P12_1;1;12;Plant;0.09503;8.434;20.996;156;182;0.19129;13.611;0;0;156;182;0
002P12_2;1;12;Plant;0.07900;8.817;19.906;184;217;0.16585;12.625;0;0;184;217;0
003P12_1;1;12;Plant;0.07217;8.773;19.103;158;186;0.20280;14.322;0;0;158;186;0
003P12_2;1;12;Plant;0.06824;8.499;18.780;161;189;0.16190;12.497;0;0;161;189;0
080M12_1;1;12;Mixed;0.08201;7.709;18.850;144;175;0.31134;15.727;0;0;144;175;0
081M12_1;1;12;Mixed;0.05682;7.895;17.969;182;210;0.28072;14.966;0;0;182;210;0
081M12_2;1;12;Mixed;0.04197;7.672;17.204;182;210;0.30015;15.261;0;0;182;210;0
041C12_1;1;12;Animal;0.09357;8.991;20.500;149;182;0.22944;14.716;0;0;149;182;0
047C12_2;1;12;Animal;0.07775;8.523;20.910;184;212;0.24321;13.966;0;0;184;212;0
048C12_2;1;12;Animal;0.07433;8.019;20.441;182;214;0.20552;13.597;0;0;182;214;0
004P12_1;2;12;Plant;0.06527;8.481;20.005;221;245;0.13478;12.004;0;0;221;245;0
005P12_1;2;12;Plant;0.08890;8.534;20.700;210;238;0.20591;13.926;0;0;210;238;0
006P12_2;2;12;Plant;0.06915;8.136;16.903;203;228;0.21937;13.715;0;0;203;228;0
074M12_1;2;12;Mixed;0.07690;8.349;18.391;170;200;0.17310;13.456;0;0;170;200;0
074M12_2;2;12;Mixed;0.08194;8.417;19.612;175;200;0.21134;13.980;0;0;175;200;0
082M12_2;2;12;Mixed;0.07698;8.438;18.952;173;203;0.22809;13.370;0;0;173;203;0
083M12_2;2;12;Mixed;0.06122;8.707;20.238;177;207;0.25946;14.963;0;0;177;207;0
037C12_2;2;12;Animal;0.09374;8.838;20.128;172;217;0.19776;13.157;0;0;172;217;0
007P12_1;3;12;Plant;0.10379;8.252;17.768;149;182;0.26388;13.818;0;0;149;182;0
007P12_2;3;12;Plant;0.09545;9.482;22.358;156;184;0.21613;13.514;0;0;156;184;0
008P12_1;3;12;Plant;0.06387;8.086;19.353;161;200;0.17021;13.418;0;0;161;200;0
008P12_2;3;12;Plant;0.06535;8.116;19.991;184;210;0.20830;13.551;0;0;184;210;0
009P12_1;3;12;Plant;0.08803;8.276;19.088;186;214;0.17069;12.902;0;0;186;214;0
073M12_1;3;12;Mixed;0.07940;8.480;21.143;161;198;0.31618;14.600;0;0;161;198;0
073M12_2;3;12;Mixed;0.07130;8.010;18.661;203;228;0.23958;15.323;0;0;203;228;0
084M12_1;3;12;Mixed;0.06770;8.573;20.278;177;214;0.26833;14.768;0;0;177;214;0
039C12_1;3;12;Animal;0.08100;8.455;19.954;172;200;0.15644;12.733;0;0;172;200;0
141C12_1;3;12;Animal;0.10460;9.528;22.592;149;189;0.24708;13.084;0;0;149;189;0
010P12_1;4;12;Plant;0.05740;8.803;20.810;151;182;0.20727;12.578;0;0;151;182;0
010P12_2;4;12;Plant;0.06780;8.342;18.751;151;172;0.15140;13.346;0;0;151;172;0
011P12_1;4;12;Plant;0.06116;8.987;19.324;151;189;0.17867;12.777;0;0;151;189;0
011P12_2;4;12;Plant;0.06357;8.341;18.364;184;217;0.25694;14.591;0;0;184;217;0
012P12_1;4;12;Plant;0.07510;9.138;21.139;147;182;0.20709;14.426;0;0;147;182;0
012P12_2;4;12;Plant;0.06350;8.965;21.186;172;200;0.18623;13.503;0;0;172;200;0
077M12_2;4;12;Mixed;0.10720;8.774;22.123;170;198;0.26278;13.686;0;0;170;198;0
078M12_2;4;12;Mixed;0.07390;8.888;19.591;212;211;0.29837;15.001;0;0;212;211;0
079M12_1;4;12;Mixed;0.07720;8.988;19.703;161;193;0.25936;14.326;0;0;161;193;0
079M12_2;4;12;Mixed;0.07620;8.464;19.961;165;198;0.27864;14.794;0;0;165;198;0
042C12_1;4;12;Animal;0.08220;9.054;21.350;182;205;0.13648;12.314;0;0;182;205;0
